Classes,Object Oriented,Definitions,Universal
Definitions,400,What is UML? (Also Define),Unified Modeling Language~~A graphical depiction of the software structure.~~It's a tool used along the software engineering process.
Object Oriented,400,What is Dynamic Binding?,User when the compiler is not able to resolve the class / binding at compile time (Delayed until runtime)~~Overriding is an example of Dynamic Binding.~~Dynamic Binding allows polymorphism to work.
Object Oriented,400,What is ''Has-a'',A way to state a whole/part relationship~~The whole object ''has-a'' part.
Object Oriented,400,What is Object Lifetime?,An objects lifetime is the time an object exists - from its instantiation in its constructor until the object goes out of scope.~~Objects are initialized when needed@ and eventually are disposed.~~While alive@ they maintain their own identity and state~~
Object Oriented,400,What is Garbage Collection,The automatic detection and freeing of memory that is no longer in use.~~An object becomes available for Garbage Collection when it is no longer referred to by any other object.
Object Oriented,400,What is Operation?,Something an object does~~A process performed by the object~~Referred to as Behaviors. Ex: Operation for a human is to Walk@ Eat@ and Sleep.
Object Oriented,400,What is Behavior,Activity of an object that is visible to the outside world or something an object does.~~How an object responds to messages by changing its internal state or returning state information to other objects.~~Sometimes referred to as Operations.
Object Oriented,400,What is State?,Reflects the current values of all the attributes of a given object.~~Is the result of the behavior of an object over time.
Universal,400,What is ''Is-a'' test?,A simple test to check for proper inheritance design.~~Ex: If you cannot say Sub-Class ''is-a'' kind of the super-class@ then inheritance is probably not appropriate.
Universal,400,What is Composition?,A form of aggregation where the whole cannot ecist without having the parts.
Universal,400,What is Whole / Part Hierarchy?,To include one class as part of another.~~Characterized by a ''has-a'' relationship.~~A relationship between classes where one class is made up of or contains objects of another class.~~Most O-O havent defined special language support for Whole / Parts~~ critical for O-O Programmers.
Universal,400,What is Library Model Maintenance?,.NET has over 7000 classes and types and allows multiple languages the ability to use the same libraries.~~Centralizes any code all languages use.~~Encapsulation and abstraction are accomplished by libraries.~~Allows no program to be written from scratch.
Classes,500,What is Default Behaviors?,In an inheritance hierarchy@ the class behaviors defined by the superclass will be used by default unless overriden by a subclass.
Definitions,500,What is Instantiation?,Creating an instance of an object of a given class~~Instantiating an instance brings it into existance.
Object Oriented,500,What is ''is-a'',A term used in inheritance hierarchies~~A sub-class ''is-a'' specialized kind of more general super-class
Object Oriented,500,What is Polymorphism?,A characteristic of inheritance that ensures that instances of such subclasses behave correctly.~~The final fundamental characteristic of object-oriented systems.~~Polymorphism properties allows instances of objects to behave correctly@ automatically@ and seamlessly.
Object Oriented,500,What is Object State & Behavior,While an Object exists@ it has a state and behavior.~~State is expressed by its attributes.~~Behavior is expressed by the methods associated with the object.~~State usually reflects changeable attributes of an object~~Each object has its own Identity@ and requires use of its identity when used.
Universal,500,What is Single Inheritance?,When a subclass is derived from a single superclass@ it is said to have single inheritance.
Universal,500,What is Association?,Relationship between two or more classes.~~Indicates how objects of the different classes relate to eachother.~~Most common & simple relationship between objects in O-O programming.
Universal,500,What are Two ways to implement whole / part?,What is Aggregation & Comparison~~Aggregation:(has-a & part-of)~~Composition: Whole can't exist with out parts.
Universal,500,What is the purpose of .NET?,1. Allows multiple languages to use the same libraries.~~2. Allow code written on one computer@ regardless of OS@ to run on another that has .NET Libraries installed.
Universal,500,What is Object Oriented Design Phase? (OOD),The process of planning a system of interacting objects for the purpose of solving a software problem.~~One approach to software design.~~The process of defining the Solution based on each problem identified in the (OOA) Phase.~~Defining the Components@ interfaces@ objects@ classes@ attributes and Operations satisfying requirements.
Universal,500,What are 2 Steps to Problem Specification (OOA),1. Te developer creates a system function statement that describes the requirements of the system.~~2. The developer creates use-cases that describe possible scenarios that might be encountered by the system.~~ Use-cases should represent normal & abnormal situations.
Universal,500,What is the Object Oriented Analysis Phase (OOA),
